transfer_id,player_name,first_name,last_name,date,old_team_id,new_team_id
15833,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15834,Marian Epple,Marian,Epple,2021,,t7350
15835,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15836,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15837,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15838,Marian Epple,Marian,Epple,2021,,t7350
15839,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15840,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15841,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15842,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15843,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15844,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15845,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15846,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15847,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15848,Maurício Borges,Maurício,Borges,2021,,t1306
15849,Leo Andrić,Leo,Andrić,2021,t2000,
15850,Maurício Borges,Maurício,Borges,2021,,t1306
15851,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15852,Leo Andrić,Leo,Andrić,2021,t2000,
15853,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15854,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15855,Georgi Petrov,Georgi,Petrov,2021,,t1858
15856,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15857,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15858,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15859,Georgi Petrov,Georgi,Petrov,2021,,t1858
15860,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15861,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15862,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15863,David Marques,David,Marques,2021,t6585,t2806
15864,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15865,Luka Basic,Luka,Basic,2021,,t1664
15866,Christian Fromm,Christian,Fromm,2021,,t1308
15867,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15868,Marian Epple,Marian,Epple,2021,,t7350
15869,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15870,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15871,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15872,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15873,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15874,David Marques,David,Marques,2021,t6585,t2806
15875,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15876,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15877,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15878,Luka Basic,Luka,Basic,2021,,t1664
15879,Maurício Borges,Maurício,Borges,2021,,t1306
15880,Christian Fromm,Christian,Fromm,2021,,t1308
15881,Leo Andrić,Leo,Andrić,2021,t2000,
15882,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15883,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15884,Marian Epple,Marian,Epple,2021,,t7350
15885,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15886,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15887,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15888,Georgi Petrov,Georgi,Petrov,2021,,t1858
15889,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15890,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15891,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15892,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15893,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15894,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15895,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15896,Maurício Borges,Maurício,Borges,2021,,t1306
15897,Leo Andrić,Leo,Andrić,2021,t2000,
15898,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15899,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15900,Georgi Petrov,Georgi,Petrov,2021,,t1858
15901,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15902,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15903,David Marques,David,Marques,2021,t6585,t2806
15904,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15905,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15906,David Marques,David,Marques,2021,t6585,t2806
15907,Luka Basic,Luka,Basic,2021,,t1664
15908,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15909,Christian Fromm,Christian,Fromm,2021,,t1308
15910,Luka Basic,Luka,Basic,2021,,t1664
15911,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15912,Christian Fromm,Christian,Fromm,2021,,t1308
15913,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15914,Marian Epple,Marian,Epple,2021,,t7350
15915,Marian Epple,Marian,Epple,2021,,t7350
15916,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15917,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15918,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15919,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15920,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15921,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15922,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15923,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15924,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15925,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15926,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15927,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15928,Maurício Borges,Maurício,Borges,2021,,t1306
15929,Maurício Borges,Maurício,Borges,2021,,t1306
15930,Leo Andrić,Leo,Andrić,2021,t2000,
15931,Leo Andrić,Leo,Andrić,2021,t2000,
15932,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15933,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15934,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15935,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15936,Georgi Petrov,Georgi,Petrov,2021,,t1858
15937,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15938,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
