award_id,player_id,award_name,league,award_date
341,p79086,Best setter,Korean V-League,1986
342,p1280,Best scorer,Japan V.League Division 1,2004
343,p2192,Best spiker,Argentinian Liga A1,2013
344,p1280,MVP,Pan American Games,2003
345,p2192,Best outside hitter,Spanish Superliga,2009
346,p163,MVP,The Olympics,2004
347,p1280,Best scorer,Pan American Games,2003
348,p163,MVP,South American Championship,2001
349,p1280,Best scorer,Champions League,2001
350,p163,Best server,South American Championship,2001
351,p1280,MVP,World Championships U21,2001
352,p163,MVP,World Championships U21,1995
353,p1280,MVP,World Championships U19,1999
354,p163,MVP,World Championships U19,1993
355,p1280,Best scorer,World Championships U19,1999
356,p4211,Best setter,Bulgarian League,2021
357,p1280,MVP,Greek A1 League,2003
358,p4211,Best setter,French Ligue A,2019
359,p28853,Best outside hitter,South American Championship U19,2018
360,p4211,Best setter,French Ligue B,2018
361,p33601,Best libero,European Championships U17,2019
362,p2886,Best receiver,South American Championship U21,1996
363,p473,MVP,Swiss Cup,2017
364,p40771,Best opposite,PSL All-Filipino,2013
365,p35373,Best middle-blocker,Central America Championship U23,2014
366,p40771,Best opposite,PSL Grand Prix,2013
367,p40328,Best spiker,Asian Games,2010
368,p1788,Best setter,World Cup,1995
369,p40328,Best spiker,Asian Championships U20,2006
370,p31967,Best libero,Russian Liga A,2020
371,p6228,Best receiver,Polish Third League,2016
372,p104232,Best middle-blocker,Islamic Solidarity Games,2022
373,p1788,Best setter,Italian Serie A1,1992
374,p120942,Best blocker,Japan V.League Division 2,2019
375,p27739,Best outside hitter,Chinese Volleyball League,2022
376,p10751,Best blocker,European Golden League,2021
377,p47613,Best blocker,Korean Comprehensive Championship,1981
378,p40328,Best blocker,Asian Championships U18,2005
379,p10751,Best middle-blocker,Türkiye Erkekler Voleybol Ligi,2020
380,p11681,MVP,All Japan Intercollegiate Championship,2015
381,p47613,Best middle-blocker,Korean V-League,1983
382,p11681,Best setter,All Japan Intercollegiate Championship,2015
383,p47613,MVP,Korean V-League,1984
384,p11681,Best setter,All Japan Intercollegiate Championship,2014
385,p54236,Best outside hitter,Omani League U19,2016
386,p11681,MVP,Asian Championships U20,2012
387,p32202,Best middle-blocker,Baltic League,2020
388,p62,Best opposite,South American Club Championship,2016
389,p15288,MVP,Venezuelan League,2018
390,p62,MVP,Argentinian Liga A1,2016
391,p91032,Best server,Hungarian Championship,2021
392,p26049,Best receiver,Italian Serie A1,1998
393,p10751,Best middle-blocker,Türkiye Erkekler Voleybol Ligi,2019
394,p56946,Best libero,Korea Corporates Volleyball Federation,2022
395,p62,Best scorer,Argentinian Liga A1,2016
396,p2437,Best receiver,Argentinian Liga A1,2011
397,p10751,Best blocker,Türkiye Erkekler Voleybol Ligi,2019
398,p41427,Best middle-blocker,European Championships U20,2018
399,p10113,MVP,Swiss League,2006
400,p15288,Best outside hitter,Pan American Cup,2015
401,p2437,Best digger,America's Cup,2008
402,p473,MVP,Swiss League,2017
403,p38166,Best receiver,Finnish Cup,2017
404,p17806,Best libero,Hubert Wagner Memorial,2022
405,p17806,Best libero,Serbian Super League,2016
406,p35754,Best middle-blocker,Central American Games,2017
407,p490,Best spiker,Turkish Cup,2016
408,p4918,Best libero,European Championships U18,2009
409,p2572,Best digger,The Olympic Qualification,2008
410,p490,MVP,European Championships U18,2007
411,p62,Best opposite,Argentinian Liga A1,2016
412,p19206,Best blocker,Indonesian Proliga,2011
413,p22888,MVP,Hungarian Championship,2021
414,p2572,Best libero,European Golden League,2007
415,p3381,Best scorer,Asian Cup,2012
416,p22888,Best setter,Hungarian Championship,2021
417,p2437,Best digger,South American Championship,2007
418,p22888,Best setter,European Silver League,2021
419,p3191,Best setter,World Championships U23,2015
420,p22888,Best setter,Hungarian Championship,2020
421,p62,Best scorer,Chinese Volleyball League,2015
422,p3191,Best setter,World Championships U21,2013
423,p9622,Best blocker,Polish PlusLiga,2005
424,p404,Best scorer,Mediterranean Games,2022
425,p7394,Best opposite,Kurowashiki Tournament,2017
426,p62,Best server,The Olympic Qualification,2012
427,p4125,Best setter,Lebanese Division 1,2018
428,p4603,Best scorer,Chinese Volleyball League,2022
429,p9622,Best blocker,Polish PlusLiga,2001
430,p97758,Best server,UAAP,2012
431,p33456,Best libero,Central America Championship U19,2019
432,p36096,Best blocker,All Japan Intercollegiate Championship,2014
433,p97758,Best receiver,UAAP,2012
434,p43398,Best blocker,Amateur French Cup,2016
435,p40822,Best middle-blocker,Philippines Reinforced Conference,2016
436,p4376,Best digger,NORCECA Pan American Cup Final Six,2022
437,p22832,MVP,Asian Club Championship,2007
438,p40822,MVP,Philippines Open Conference,2015
439,p110843,Best digger,UAAP,2009
440,p4125,Best server,Lebanese Division 1,2018
