stadium_id,stadium_name,country_code,town,opening_year,capacity
a2933,LSU,LT,Kaunas,1934.0,
a2934,Midori Civic Gymnasium,JP,Midori City Gunma,2009.0,460.0
a2935,Gifu Memorial Center Fureai Dome,JP,Gifu City Gifu,,600.0
a2936,Malherbe,FR,Grenoble,,
a2938,Salle Quinet,FR,Calais,,
a2939,Complexe Fernand-Fournier,FR,Arles,,
a294,Baluan Sport & Culture Palace,,Almaty,1967.0,5000.0
a2940,Hala Sportowa przy SP-4,PL,Aleksandrów Łódzki,,
a2941,Hala Widowiskowo Sportowa w Stężycy,PL,Stężycy,,
a2942,Sporthall Nadvirna,UA,Nadvirna,,
a2948,Polideportivo de Villa el Salvador,PE,Lima,2019.0,5000.0
a2949,Tsukuba Capio,JP,Tsukuba City Ibaraki,1996.0,2739.0
a295,Mediteranski Sportski Centar Hall,ME,Budva,,1100.0
a2950,Sporthall Pokrovsk,UA,Pokrovsk,,
a2951,Len Clay Sports Stadium,GH,Obuasi,1998.0,1080.0
a2952,PalaTerme,IT,Montecatini Terme,1991.0,5196.0
a2953,Polyvalent Hall,RO,Piatra Neamt,2011.0,4000.0
a2954,Torul Kapalı Spor Salonu,TR,Torul,,
a2955,Rio Vermelho,BR,Goiânia,,5000.0
a2956,Sports Center Ben-Gurion University,IL,Be'er Sheva,,
a2957,Sydney Showground Pavilion 4,AU,Sydney,,
a2958,Pavelló de la Vall d'Hebron,ES,Barcelona,1991.0,
a296,Gimnasio Universitario UACJ,MX,Ciudad Juarez,,4350.0
a2960,Saemaul 88 Sports Hall aka KBS Arena,KR,Seoul,1986.0,2222.0
a2961,Volleyballhalle,DE,Munich,,
a2962,Gimnasio Olímpico Juan de la Barrera,MX,Mexico City,1968.0,5242.0
a2963,Yubileyny Sports Palace,,Saint-Petersburg,1967.0,7000.0
a2964,Arena Leipzig,DE,Leipzig,,
a2965,Palais des Sports,FR,Toulon,2006.0,4700.0
a2966,Espace 3000,FR,Hyères-les-Palmiers,,2500.0
a2967,Palestra,FR,Chaumont,2021.0,2000.0
a2968,Gymnase Jules Verne,FR,Cagnes-sur-Mer,,
a2969,Gymnase de l'Isle,FR,Vienne,,
a297,Complejo Panamericano de Voleibol,MX,Guadalajara,2007.0,3152.0
